a52dec 0.7.4-10
aalib 1.4rc5-13
accountsservice 0.6.54+2+g204a4ab-1
acl 2.2.53-1
acpid 2.0.31-1
adwaita-icon-theme 3.30.1-1
alsa-lib 1.1.7-2
alsa-plugins 1.1.7-3
alsa-utils 1.1.7-1
amd-ucode 20181026.1cb4e51-1
android-file-transfer 3.7-1
android-sdk-platform-tools 28.0.1-1
antergos-alerts 18.9.9-1
antergos-alpm-hooks 1.1-1
antergos-desktop-settings 1.14-2
antergos-gnome-defaults-list 1.1-3
antergos-keyring 20170524-1
antergos-midnight-timers 1.0-3
antergos-mirrorlist 20180830-2
antergos-wallpapers 0.7-3
aom 1.0.0-1
appstream-glib 0.7.14-1
arc-gtk-theme 20181022-1
archlinux-appstream-data 20181117-1
archlinux-keyring 20181126-1
argon2 20171227-3
aribb24 1.0.3-2
aspell 0.60.7rc1-1
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
atkmm 2.28.0-1
attica 5.52.0-1
attr 2.4.48-1
audit 2.8.4-2
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+16+g1cc2b8e-2
b43-firmware 6.30.163.46-7
b43-fwcutter 019-2
babl 0.1.60-1
baobab 3.30.0-1
bash 4.4.023-1
bash-completion 2.8-1
bc 1.07.1-2
bind-tools 9.13.4-1
binutils 2.31.1-3
bison 3.2-1
blas 3.8.0-2
blueberry 1.2.3-1
bluez 5.50-3
bluez-libs 5.50-3
bluez-tools 0.2.0-2
bolt 0.5-1
boost 1.68.0-2
boost-libs 1.68.0-2
brasero 3.12.2-2
bridge-utils 1.6-3
broadcom-wl-dkms 6.30.223.271-18
brotli 1.0.7-1
btrfs-progs 4.19-1
bubblewrap 0.3.1-1
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.40-2
ca-certificates-utils 20181109-1
cairo 1.16.0-1
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
cdrdao 1.2.4-1
cdrtools 3.02a09-1
celt 0.11.3-3
check 0.12.0-1
cheese 3.30.0-1
chromaprint 1.4.3-2
cifs-utils 6.8-2
clang 7.0.0-1
clucene 2.3.3.4-10
clutter 1.26.2-2
clutter-gst 3.0.26-1
clutter-gtk 1.8.4-1
cmake 3.12.4-1
cogl 1.22.2+22+ge023a361-1
colord 1.4.3-2
colord-gtk 0.1.26+5+ga9d9c91-2
compiler-rt 7.0.0-2
confuse 3.2.2-1
containerd 1.2.0-2
coreutils 8.30-1
cppcheck 1.85-1
cracklib 2.9.6-3
crda 4.14-1
cryfs 0.9.9-4
crypto++ 7.0.0-1
cryptsetup 2.0.5-1
cups 2.2.9-1
cups-filters 1.21.4-1
cups-pk-helper 0.2.6-2
curl 7.62.0-1
db 5.3.28-4
dbus 1.12.10-2
dbus-glib 0.110-1
dconf 0.30.1-1
dconf-editor 3.30.2-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.182-1
dhcpcd 7.0.8-1
dialog 1:1.3_20181107-1
diffutils 3.6-2
ding-libs 0.6.1-2
djvulibre 3.5.27-4
dkms 2.5-4
dleyna-connector-dbus 0.3.0-1
dleyna-core 0.6.0-1
dleyna-renderer 0.6.0-1
dleyna-server 0.6.0-1
dmenu 4.8-1
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20181003-1
docker 1:18.09.0-2
dos2unix 7.4.0-1
dosfstools 4.1-2
double-conversion 3.1.1-1
dvd+rw-tools 7.1-8
e2fsprogs 1.44.4-1
